session,Period,Subject,Num_subject,Num_others,choice_task1,choice_task2,choice_task3,choice_task4,choice_same_gender,choice_diff_gender,choice_same_neutral,choice_diff_neutral,random_play_order,play_order,game1,game2,game3,game4,year,campus,roomate,gender,visitation,visitation_first,visitation_second,visitation_third,nonvisitation_first,nonvisitation_second,nonvisitation_third,num_male_total,num_male_others,num_female_total,num_female_others,even_num_male,even_num_female,temp_rand_matching1,temp_rand_matching2,temp_rand_matching3,temp_rand_matching4,temp_matching_rank1,temp_matching_id_sg,temp_matching_rank2,temp_matching_id_dg,temp_matching_rank3,temp_matching_id_sn,temp_matching_rank4,temp_matching_id_dn,quiz_phase,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,answer_stage,choice_game1,stage_control,choice_game2,choice_game3,choice_game4,guess_number,confidence_num_other_choice1,identity,whichpart_identity,part2_choice1,part2_choice2,part2_choice3,part2_choice4,part2_choice5,part2_choice6,part2_choice7,part2_choice8,part2_choice9,part2_choice10,part2_choice11,age,major,nationality,religion,religion_other,opinion_experiment,friend,trust,pass,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,generous,lazy,frugal,impatient,studious,cautious,artistic,patient,reckless,rand_check,check_order,check1,check2,check3,check4,female_avatar,male_avatar,neutral_female_avatar,neutral_male_avatar,payment_task_part1,partner_choice,payment_choice_part1,earning,total_num_choice1_task1,total_num_choice1_task2,total_num_choice1_task3,total_num_choice1_task4,other_num_choice1_task1,other_num_choice1_task2,other_num_choice1_task3,other_num_choice1_task4,num_other_choice1,deviation,extra_point,rand_lottery,selected_row,part2_payment_choice,rand_optionb,threshold_optionb,part2_payment,rand_final,payment_part,final_earning,final_cash,selected_order_task,exp_effect
11,1,4,12,11,2,2,2,2,2,2,2,2,0.069,1,1,2,3,4,1,1,1,1,1,Having female friends coming,Friends groups can hang out together,Liberty,More privacy,Usually less noisy,Cleaner,7,6,5,5,0,0,0.807477921,0.841061025,0.757387362,0.208801426,2,1,2,2,2,1,6,6,9,4,4,4,1,1,2,1,1,0,2,1,2,2,2,1,80,0,,1,1,1,1,1,1,1,1,1,2,2,20,Economics,German,9,-,Social Decision Making in relation with gender,2,0,2,2,3,4,4,3,3,3,4,4,2,2,4,4,2,3,1,2,1,1,3,4,3,5,3,2,3,2,5,0.264,1,1,2,3,4,2,1,1,1,1,1,2,40,3,4,8,8,3,4,8,8,3,2,1,0.987066204,11,2,0.397589566,1,60,0.325256045,2,60,114,1,0
12,1,4,12,11,2,2,2,2,2,2,2,2,0.884,6,4,2,1,3,3,1,1,2,1,Opposite genders can visit,,,More quite,Cleaner,,6,6,6,5,1,1,0.018201801,0.503691566,0.286072363,0.245113412,6,3,2,2,5,3,5,5,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,1,60,0,,1,1,1,1,1,1,1,2,2,2,2,21,Political Science,Australia,8,-,Risk behaviour. ,1,1,2,4,2,4,5,3,4,4,3,2,4,3,4,4,2,2,1,1,1,1,4,1,3,2,4,4,3,4,2,11.28,12,2,4,3,1,2,1,3,3,4,1,2,40,3,3,7,6,3,3,7,6,6,5,0,0.092165106,2,1,0.543286089,0.1,40,0.707208661,1,40,86,1,0
13,1,4,20,19,1,1,1,1,1,1,1,1,0.348,3,2,1,3,4,4,1,0,2,1,male friends can be a part of the friends group visiting,it is convenient when someone of a different gender needs to get something from the room ,,"maybe, more probability of having a quiet space, which allows to concentrate on studies, etc. when needed ",,,11,11,9,8,0,0,0.846285398,0.010263533,0.922731755,0.32613675,1,1,8,8,2,1,4,4,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,11,95,0,,1,1,1,1,1,1,1,1,2,2,2,22,Economics,Russian,3,-,"Pt 1-about the bias in decision-making based on gender, and the participant's previous experiences with the opposite/same gender. Pt 2-about isk averseness when not dealing with other humans.",6,1,2,4,4,5,4,5,5,5,2,3,1,3,4,5,2,4,3,2,2,5,4,2,4,5,1,1,4,5,3,22.632,23,4,3,1,2,2,1,3,3,3,1,1,60,7,7,13,10,6,7,12,9,7,4,0,0.248230591,3,1,0.672275529,0.2,40,0.0730419,2,40,86,3,1
14,1,4,22,21,2,2,2,1,2,2,2,1,0.9,6,4,2,1,3,3,1,1,1,1,More organic feel to the social scene,,,Might make it easier to follow religious rules and norms,,,11,10,11,11,0,0,0.710124539,0.856852352,0.030327487,0.707368304,7,4,2,2,11,6,4,4,9,4,1,4,1,1,2,1,1,0,1,1,2,2,2,5,90,0,,1,1,1,1,1,1,1,1,2,2,2,21,Economics,Nepal,7,,Game Thoeretic Decision Making. Risk Aversion. ,1,0,2,4,3,2,5,5,3,3,3,3,1,3,4,3,4,5,3,3,1,1,2,2,3,4,3,2,3,3,4,15.6,16,3,2,4,1,3,3,3,3,4,1,1,60,4,8,11,13,4,8,11,12,12,7,0,0.102900962,2,1,0.712291323,0.1,40,0.852894213,1,60,114,1,0
15,1,4,20,19,1,1,1,1,1,1,1,1,0.433,3,2,1,3,4,4,1,1,1,1,The possibility of inviting ladies to my room,The possibility of having parties on the floor,An environment that doesn't feel segregated and hence feels normal,Privacy,,,10,9,10,10,1,1,0.495619477,0.539498508,0.405290601,0.18798532,7,4,4,4,4,2,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,10,100,0,,2,2,2,2,2,2,1,2,1,1,1,22,Electrical Engineering,Ethiopian,3,,Decision making patterns of different people upon certain conditions,5,1,2,3,4,3,4,4,4,3,3,3,2,4,5,4,2,2,2,2,3,2,3,3,2,2,3,3,4,4,4,5.16,6,1,4,3,2,2,1,3,1,1,1,1,60,8,6,12,13,7,6,11,12,6,4,0,0.99471528,11,1,0.059677201,1,40,0.418976623,2,40,86,2,0
16,1,4,20,19,1,1,2,1,1,1,2,1,0.894,6,4,2,1,3,1,1,0,1,1,All my friends are allowed to come to my room - regardless of gender.,Mixture of genders helps increase diversity,Parties and social events are improved,Better sense of security for some,Religious requirements are satisfied,More sense of a 'fraternity' or 'sorority',10,9,10,10,1,1,0.630605129,0.452341206,0.252103557,0.991976555,6,3,9,9,8,4,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,2,13,80,0,,1,1,1,1,1,1,1,2,2,2,2,18,Mechanical Engineering,Taiwanese,8,,The relationship between a person's characteristics and their likelihood to trust others into making choices for the common good; a person's characteristics and risks.,2,1,2,1,4,4,4,2,4,4,4,5,2,2,4,4,2,3,4,4,1,4,3,4,2,3,4,1,1,3,4,10.848,11,2,4,1,3,2,1,3,3,3,2,2,40,6,8,11,12,5,8,11,11,11,2,1,0.072038737,1,1,0.217609847,0,40,0.051942967,2,40,86,4,1
17,1,4,8,7,2,2,2,1,2,2,2,1,0.835,6,4,2,1,3,2,1,0,1,1,My female friends can come to hangout in my room,I get to have parties which are gender mixed. ,,an advantage would be to just have freedom to do what you want.. forexample: ability to dress in embarassing shorts while doing laundry,,,4,3,4,4,1,1,0.274615514,0.166831555,0.529567085,0.483360792,3,2,3,3,3,2,2,2,9,2,1,4,1,1,2,1,1,0,1,1,2,2,2,3,75,1,"sometimes guys can be a little bit greedy and inconsiderate.. so i thought that if there is a possiblity that it was girl, then the obvious choice was choice 1. Because they would also choose 1",1,1,1,1,1,1,1,1,2,2,2,20,Computer Science,Rwandan,3,-,Game Theory together with some aspects of risk management and return,1,0,2,3,3,5,4,5,5,3,4,3,2,5,2,1,5,3,1,1,1,3,3,2,5,5,3,3,2,2,5,19.2,20,4,1,3,2,2,1,1,2,2,1,2,40,3,3,6,4,3,3,6,3,3,0,3,0.162185161,2,1,0.557275035,0.1,40,0.718470566,1,43,90.2,2,0
18,1,4,10,9,2,2,2,2,2,2,2,2,0.96,6,4,2,1,3,4,1,0,1,1,friends can visit,easy to go through,can have get together ,privacy,need my own space,religious,5,4,5,5,0,0,0.158436481,0.281263268,0.38328259,0.278130364,3,2,5,5,4,2,4,4,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,4,70,0,,1,1,1,1,1,1,1,2,2,2,2,23,Engineering,Australia,5,,to check decision based on selfishness,0,0,2,4,3,3,4,5,5,3,4,3,1,4,2,2,5,5,4,4,3,4,2,2,4,4,3,4,3,4,3,14.04,15,3,2,1,4,2,1,3,3,2,1,2,40,2,4,6,6,2,4,6,6,6,2,1,0.41808125,5,1,0.767681843,0.4,40,0.150966277,2,40,86,2,0
19,1,4,10,9,2,2,2,2,2,2,2,2,0.153,1,1,2,3,4,3,1,1,1,1,I will be able to have social gatherings with friends of the opposite gender.,,,I can be less worried about dressing up when I roam around the floor.,,,5,4,5,5,0,0,0.652952944,0.133176088,0.59858451,0.002628579,2,1,4,4,2,1,5,5,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,2,60,0,,1,1,1,1,1,1,1,2,2,2,2,21,Economics,China,8,-,To assess whether people trust partners/other agents of the same gender more/less than those of the opposite gender. The second part is to see whether the subject is rational.,2,0,2,3,4,4,4,3,3,3,2,4,2,2,3,3,4,3,4,4,2,2,4,2,2,4,4,4,2,3,5,9.48,10,2,3,4,1,2,1,3,3,1,1,2,40,4,4,7,7,4,4,7,7,4,2,1,0.256343387,3,1,0.832770355,0.2,40,0.930594726,1,41,87.4,1,0
20,1,4,12,11,2,2,2,1,2,2,2,1,0.788,5,3,2,1,4,2,1,1,1,1,Having friends from either gender visit,,,More halal,,,6,5,6,6,1,1,0.606243047,0.613784238,0.883411285,0.86383876,5,3,3,3,2,1,1,1,9,4,2,4,1,1,2,1,1,0,2,1,2,2,1,3,40,0,,1,1,1,1,1,1,1,2,2,2,2,20,Arab Crossroads Studies,American,2,-,Gender and how they approach cooperative economic situations.,0,0,2,2,4,5,5,4,3,3,4,4,3,2,2,2,4,4,1,3,2,2,2,4,4,3,3,2,2,2,4,6.576,7,2,1,3,4,2,1,3,3,3,1,2,40,4,4,6,6,4,4,6,5,6,3,0,0.12689453,2,1,0.424595824,0.1,40,0.30298503,2,40,86,1,0
1,1,5,16,15,1,1,1,1,1,1,1,1,0.3,2,1,2,4,3,1,1,0,1,1,increased social encounters,less feeling of restrictedness,,more quiet ,more privacy,,8,7,8,8,1,1,0.424649191,0.804177539,0.034996024,0.570830797,7,4,3,3,8,4,3,3,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,,1,1,1,1,2,1,2,2,2,2,2,18,Engineering,Indian,9,,whether identity of your pair affected your decision to collude or not; part 2 may have just been a filler ,4,1,2,2,5,4,5,3,5,3,4,4,2,2,4,4,2,2,1,3,1,1,2,4,3,4,3,3,2,2,5,10.464,11,2,4,1,3,3,3,3,3,1,1,1,60,6,6,9,10,5,6,8,9,5,2,1,0.544020796,6,1,0.411717239,0.5,40,0.660725444,1,61,115.4,1,1
2,1,5,14,13,2,1,1,1,2,1,1,1,0.709,5,3,2,1,4,1,1,0,2,1,anyone can come to see me,,,"if you want privacy, and isolation from the other gender it's nice",,,7,7,7,6,0,0,0.200425151,0.737170976,0.295464651,0.47125384,7,4,1,1,4,2,4,4,9,4,1,4,1,1,2,2,1,0,1,1,1,2,1,10,75,0,,1,1,1,1,1,1,1,1,2,2,2,19,Philosophy,French,5,,"I think  the first part was about trust, whether or not you trust a stranger to choose choice 1 and maximize the gain. the second one was about taking risks",1,0,2,5,3,3,1,3,4,4,2,4,1,3,5,5,1,1,1,1,1,1,4,2,3,5,5,5,5,5,2,7.536,8,2,1,4,3,2,1,3,3,4,1,1,60,5,7,12,13,5,7,11,12,11,1,2,0.918663742,11,2,0.296132995,1,60,0.577777329,1,62,116.8,4,0
3,1,5,14,13,1,1,2,1,1,1,2,1,0.252,2,1,2,4,3,4,1,0,2,1,anyone can come visit,,,Quiet,dont have to wear hijab,,7,7,7,6,0,0,0.333555095,0.904229437,0.289647181,0.761893842,5,3,2,2,5,3,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,2,6,95,0,,1,1,1,1,1,1,1,2,2,2,2,22,Biology,American,5,-,economic decisions and whether they are affected by what you see on a screen about another person,2,0,2,5,4,4,4,3,4,3,4,2,1,4,4,4,3,2,1,1,1,1,4,3,3,4,4,4,4,4,3,16.728,17,3,4,1,2,2,1,3,3,1,2,1,0,3,4,6,7,2,4,6,6,2,4,0,0.530334824,6,1,0.526985298,0.5,40,0.171934837,2,40,86,1,1
4,1,5,16,15,1,1,1,1,1,1,1,1,0.744,5,3,2,1,4,2,1,1,1,1,visit friends with opposite gender,,,you can have a quieter space for rest and study,,,8,7,8,8,1,1,0.164389176,0.588330848,0.953559098,0.900822939,6,3,4,4,3,2,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,13,80,0,,1,1,1,1,1,1,1,2,2,2,2,20,Math,Chinese,10,None,game theory,4,1,2,3,2,3,2,4,3,2,1,5,4,2,3,3,4,4,1,1,1,1,3,3,3,3,3,3,3,3,3,15.888,16,3,2,4,1,2,1,3,3,2,1,1,60,4,3,8,7,3,3,7,6,7,6,0,0.363087756,4,1,0.975514452,0.3,40,0.312563305,2,40,86,2,0
5,1,5,16,15,2,2,2,1,2,2,2,1,0.845,6,4,2,1,3,4,1,0,1,1,You can have your girlfriend / girl friend over,,,There is less chance to be disturbed by anything happening in your room,,,8,7,8,8,1,1,0.383435798,0.399889989,0.95103748,0.405450104,3,2,5,5,1,1,3,3,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,11,70,0,,1,1,1,1,1,1,1,1,1,2,2,21,Film and New Media,Russian,3,Orthodox Christian,What do people need to know to be willing willing to sacrifice a 100% of receiving a certain amount of money for a chance of receiving an even bigger sum,0,0,2,3,3,4,4,4,4,2,2,3,2,3,5,5,4,2,4,3,2,4,3,3,3,4,3,2,2,3,4,20.592,21,4,2,1,3,2,1,3,1,2,2,2,40,3,6,7,8,3,6,7,7,7,4,0,0.371648416,5,1,0.756064082,0.4,40,0.120062322,2,40,86,2,0
6,1,5,18,17,2,2,2,2,2,2,2,2,0.111,1,1,2,3,4,1,1,1,1,1,It is easier to have friends over who are of another gender,Greater selection of rooms and buildings,More diverse community,"Small, tight knit community",People around you may have similar ideologies,Typically quieter than visitation floors,9,8,9,9,0,0,0.720773317,0.860954291,0.481320397,0.058763069,2,1,2,2,3,2,8,8,9,1,1,4,2,1,2,1,1,0,2,1,2,2,2,3,50,0,,1,1,1,1,1,1,1,1,1,1,2,20,Computer Science and Interactive Media,Sri Lankan,5,N/A,To see how people make choices depending on the risk of each choice in terms of what the gain/loss could be ,3,0,2,5,3,1,3,1,3,2,3,5,3,5,5,5,2,3,3,5,1,3,5,5,3,5,3,2,3,4,5,18.12,19,4,1,2,3,2,1,3,3,2,1,2,40,6,4,5,8,6,4,5,8,6,3,0,0.458634496,6,1,0.145370895,0.5,40,0.182510426,2,40,86,2,0
7,1,5,16,15,1,1,1,1,1,1,1,1,0.856,6,4,2,1,3,4,1,0,1,1,I can bring friends into my room to hang out,I always know of a place where I can watch movies or eat etc even with friends who live in non-vis,its possible to have sex,never lived,no idea,no idea,8,7,8,8,1,1,0.90122448,0.005071625,0.686143197,0.782372423,1,1,8,8,3,2,4,4,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,12,80,0,-,1,1,1,1,1,1,1,2,2,2,2,22,Math and Philosophy,Pakistani,9,-,if avatars influence how much confidence you have in the other person,0,1,2,5,3,4,3,5,5,2,3,2,4,3,4,4,3,3,2,3,2,1,1,4,4,4,3,1,2,2,4,18.576,19,4,1,2,3,2,1,3,3,4,2,1,0,6,6,13,13,5,6,12,12,12,0,3,0.725061978,8,2,0.775269069,0.7,0,0.391447166,2,0,30,1,1
8,1,5,16,15,2,1,2,2,2,1,2,2,0.476,3,2,1,3,4,3,1,0,1,1,Having mixed-gender friends over,,,Same sex dance party,freedom to not be seen by the same sex while walking around on the floor (ability to dress more liberally on the floor),,8,7,8,8,1,1,0.515745221,0.173081053,0.768877634,0.440654447,3,2,6,6,4,2,3,3,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,2,30,0,,1,1,1,1,1,1,1,1,2,2,2,20,Theater,United States,8,,Gender bias in decision making ,1,0,2,4,4,5,4,3,4,4,4,2,3,3,4,4,2,3,1,1,1,1,2,5,4,5,3,4,3,1,5,21.168,22,4,2,3,1,2,1,3,3,3,2,2,40,5,4,6,8,5,4,6,8,4,2,1,0.406979495,5,1,0.104371081,0.4,40,0.21167025,2,40,86,3,0
9,1,5,18,17,1,1,1,1,1,1,1,1,0.047,1,1,2,3,4,2,1,1,2,1,"Much freer as others can visit me at any time to discuss homework, work",,,Very safe and guaranteed to not be sex exiled,,,9,9,9,8,0,0,0.314904681,0.02858508,0.344634126,0.120654035,8,4,9,9,6,3,7,7,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,8,95,0,,1,1,1,1,1,1,1,1,1,1,2,20,Electrical Engineering ,Taiwan,1,-,Trusting others ,5,1,2,1,4,5,5,4,5,4,4,5,3,2,5,5,1,1,1,1,1,1,3,2,2,2,4,4,4,5,2,1.368,2,1,2,4,3,2,1,3,3,1,1,1,60,6,7,13,14,5,7,12,13,5,3,0,0.567827529,7,1,0.608482973,0.6,40,0.011955705,2,40,86,1,0
10,1,5,14,13,1,1,1,1,1,1,1,1,0.821,5,3,2,1,4,3,1,0,1,1,More people to interact with,,,Quieter,Less stress,,7,6,7,7,0,0,0.422482887,0.156826744,0.635011059,0.740417547,5,3,6,6,2,1,2,2,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,10,75,0,,1,1,1,1,1,1,2,2,2,2,2,21,Mechanical Engineering,Indian,3,-,How decision making patterns differs between genders,3,0,2,3,3,4,4,4,4,3,3,4,2,2,4,4,1,1,3,4,2,1,4,4,4,4,2,2,3,2,4,19.68,20,4,1,3,2,2,1,3,3,1,2,1,0,4,4,6,6,3,4,5,5,5,5,0,0.387509233,5,1,0.949210752,0.4,40,0.295533012,2,40,86,3,0
11,1,5,12,11,1,1,1,1,1,1,1,1,0.409,3,2,1,3,4,2,1,0,2,1,All friends allowed to visit,Ethnic diversity,,Cohesive community,Cultural immersion,,7,7,5,4,0,0,0.44577335,0.419540001,0.126214881,0.112690371,4,2,5,5,5,3,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,6,60,0,,1,1,1,1,1,1,1,1,1,2,2,19,Legal Studies & Political Science,French ,5,-,Risk aversion,0,0,2,5,2,4,3,2,4,4,2,1,1,2,5,2,2,2,1,1,1,1,4,2,5,5,4,2,3,3,5,1.176,2,1,2,4,3,3,3,3,3,1,2,1,0,4,4,8,8,3,4,7,7,4,2,1,0.012337641,1,1,0.374511783,0,40,0.023488159,2,40,86,2,0
12,1,5,12,11,1,2,1,1,1,2,1,1,0.066,1,1,2,3,4,4,1,1,1,1,More freedom,,,More privacy,,,6,5,6,6,1,1,0.475605622,0.181120101,0.378858547,0.509683531,1,1,6,6,4,2,4,4,9,4,1,4,1,1,2,1,1,0,1,1,2,1,1,4,80,1,Gender,1,1,1,1,1,1,1,2,2,2,2,24,Political Science,South Korean,9,-,interpersonal trust and risk taking/aversion,0,0,2,2,2,4,4,4,2,3,2,4,4,2,4,2,3,2,3,4,4,4,3,3,2,3,3,3,2,3,4,9.864,10,2,3,4,1,2,1,3,3,4,2,1,0,4,5,7,6,3,5,6,5,3,1,2,0.009299622,1,1,0.281785356,0,40,0.348607985,2,40,86,4,0
13,1,5,20,19,2,2,2,2,2,2,2,2,0.426,3,2,1,3,4,4,2,0,1,1,\qnormal\q - it is typical for each unit to decide whether to have a vis or not so freedom,society comprises of both males and females so interactions across gender are important,,privacy in some sense,,,11,10,9,9,0,0,0.443399439,0.499196956,0.545393159,0.219042769,9,5,7,7,7,4,11,11,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,6,70,0,,1,1,1,1,1,1,1,1,2,2,2,25,Economics,Polish,9,-,measuring risk aversion and whether expressed preferences in part 1 are in line with those in part 2; potentially a gender role in beleif about risk appetite,2,0,2,3,2,2,4,2,2,2,1,4,1,2,5,4,1,1,2,3,2,4,2,3,4,4,2,2,2,2,4,9.72,10,2,3,4,1,2,1,3,3,3,1,2,40,6,8,13,10,6,8,13,10,8,2,1,0.382327794,5,1,0.61056978,0.4,40,0.721522504,1,41,87.4,3,0
14,1,5,22,21,1,1,2,1,1,1,2,1,0.138,1,1,2,3,4,4,1,0,2,1,Diverse student body,open to visitors of opposite gender,,I guess they have better lounges,,,11,11,11,10,0,0,0.287691599,0.378922648,0.152407958,0.390950316,10,5,6,6,10,5,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,2,1,10,50,0,,1,1,1,1,1,1,1,2,2,2,2,22,Mechncail Engineering ,Kazakhstan,5,,on how the other members tend to base their decions,3,1,2,4,4,4,3,3,3,4,3,4,3,4,3,4,3,3,5,3,3,5,3,3,3,3,3,3,4,3,2,13.656,14,3,1,4,2,3,3,3,3,4,1,1,60,9,4,11,13,8,4,11,12,8,2,1,0.446908906,5,1,0.593045417,0.4,40,0.314316195,2,40,86,4,0
15,1,5,20,19,1,1,1,1,1,1,1,1,0.58,4,2,1,4,3,4,1,1,2,1,my boyfriend can visit me,my male friends can visit me,,the floor is more calm ,,,10,10,10,9,1,1,0.114657854,0.952069893,0.185547428,0.054556364,8,4,2,2,7,4,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,10,90,0,,1,1,1,1,1,1,1,1,2,2,2,21,Mechanical Engineering,Uzbekistan,9,,predicting other peoples' choices and trusting them,1,0,2,2,4,4,5,4,5,3,2,4,1,4,5,4,1,4,2,1,1,1,3,4,3,5,3,5,4,2,4,22.584,23,4,3,1,2,2,1,3,3,1,1,1,60,7,7,12,13,6,7,11,12,7,3,0,0.472737477,6,1,0.69900174,0.5,40,0.985939897,1,60,114,2,0
16,1,5,20,19,1,1,1,2,1,1,1,2,0.637,4,2,1,4,3,4,1,0,2,1,my friends can come over for sociolizing - mixed gender friend group,,,"more calm and peaceful atmosphere in general - as people around/on the same floor do not have as many guests in general, when compared to visitation floors",,,10,10,10,9,1,1,0.311417384,0.498651204,0.006898069,0.21677427,6,3,5,5,10,5,7,7,9,4,1,4,2,1,2,1,1,0,1,1,1,2,1,9,50,0,,1,1,1,1,1,1,1,2,2,2,2,23,Social research & public policy; psychology,russian,10, inbetween:Orthodox Christian and Agnostic,"risk aversion; avatars (ingroup favoritism; gender biases); chose 40, 0 due to doubt that we are being paired with real people ",6,1,2,4,5,4,4,4,4,2,3,4,1,3,4,3,2,2,1,1,1,1,3,2,3,3,3,4,3,4,3,21.216,22,4,2,3,1,3,3,3,3,3,1,1,60,8,6,11,12,7,6,10,12,6,3,0,0.261917196,3,1,0.232920096,0.2,40,0.055724505,2,40,86,4,1
17,1,5,8,7,2,2,2,2,2,2,2,2,0.847,6,4,2,1,3,4,1,0,2,1,having friends over,feel more freer,seeing ppl of a different gender in the building makes it more like a real world,"more emriati girls, fewer friends of mine would live there ",my male classmates and friends cannot come over,,4,4,4,3,1,1,0.401059483,0.173620647,0.440451049,0.845992838,4,2,2,2,3,2,2,2,9,1,4,4,2,1,2,1,1,0,2,1,2,2,2,2,60,1,"I was wondering that if someone is new to the experiment, he or she might be optimistic about the other participant, and would love to give a try to reach the optimal situation.",1,1,1,1,1,1,1,1,1,1,2,21,math,chinese,9,-,the change for people to take risk based on the level of return surplus (as opposed to the return of not taking risks),2,0,2,4,4,5,3,4,5,5,4,3,2,4,4,4,2,2,1,1,1,1,2,4,2,3,4,4,3,4,2,2.928,3,1,3,2,4,2,1,1,3,2,1,2,40,3,2,6,4,3,2,6,4,4,2,1,0.998090928,11,2,0.694190075,1,60,0.33480796,2,60,114,2,0
18,1,5,10,9,1,1,1,1,1,1,1,1,0.82,5,3,2,1,4,3,1,1,2,1,Friends from the opposite gender can come visit.,It's much easier for people in a relationship to live on a visitation floor.,It feels more socially welcoming to be living on a visitation floor.,Privacy & intimacy.,There might be better room assignments (e.g. singles) on a non-vis floor.,,5,5,5,4,0,0,0.738407816,0.360631521,0.537024428,0.112830758,1,1,3,3,2,1,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,9,85,1,I hesistated when the other participant is for sure different from my gender -- maybe guys are more selfish and may defect on their choices to secure 40. ,1,1,1,1,1,1,1,2,2,2,2,21,Political Science & Economics,China,6,,Part 1: gender disparity in decision making/game theory: whether knowing the other gender affects one's decision making behavior. Part 2 is about the decision-maker's attitude of risk averse.,1,0,2,3,4,4,4,4,5,5,4,2,1,2,4,3,2,1,4,2,1,2,4,2,4,5,4,2,5,4,2,15.84,16,3,2,4,1,2,1,3,3,2,1,1,60,4,3,6,6,3,3,5,5,5,4,0,0.099868648,2,1,0.006420014,0.1,40,0.256950067,2,40,86,2,1
19,1,5,10,9,2,1,2,2,2,1,2,2,0.413,3,2,1,3,4,4,1,0,2,1,Can have male friends over,can host birthdays,diversity,have more privacy,have a choice to not let someone in,more family like,5,5,5,4,0,0,0.661358146,0.92411645,0.622333781,0.94566081,2,1,1,1,3,2,1,1,9,3,2,4,2,1,2,1,1,0,1,1,2,2,2,2,90,1,Females tend to be less risky and like to play it safe ,1,1,1,1,1,1,1,1,2,2,2,23,Mechanical Engineering,Pakistani,5,-,It seems like the experimenters are trying to see the inherent bias that might come from knowing the opposite sex,3,0,2,5,3,3,4,5,5,4,5,2,2,3,5,5,1,1,2,4,1,2,5,4,2,4,4,5,5,4,5,15,16,3,2,4,1,2,1,3,3,1,1,2,40,4,4,7,7,4,4,7,7,4,2,1,0.017528573,1,1,0.37134812,0,40,0.896686611,1,41,87.4,2,1
20,1,5,12,11,1,1,2,2,1,1,2,2,0.042,1,1,2,3,4,1,1,1,2,1,Hanging out with both male and female friends,Getting used to living in a community of mixed genders,Being more comfortable with one's self and self-awareness by being exposed to other gender,More privacy ,More comfort (not being disturbed by the way you're dressed etc),,6,6,6,5,1,1,0.716357346,0.979431176,0.12712933,0.609585857,1,1,1,1,5,3,2,2,9,4,1,4,2,1,2,1,1,0,1,1,1,2,2,3,60,1,Thinking that we are both females and would like to maximaze our profits if possible. ,1,1,1,1,1,1,1,2,2,2,2,19,Engineering,Bosnia and Herzegovina,5,-,Game theory and connection of decisions making and gender,0,0,2,1,4,5,5,4,5,4,4,3,2,4,5,4,1,1,2,1,1,1,5,2,3,4,3,5,5,3,2,13.488,14,3,1,4,2,3,3,3,1,3,2,2,40,5,4,6,6,4,4,6,6,4,1,2,0.827512123,10,2,0.596246862,0.9,60,0.86212166,1,42,88.8,3,0
1,1,6,16,15,1,1,1,1,1,1,1,1,0.992,6,4,2,1,3,1,1,0,1,1,Friends from the opposite gender can visit,My mother can see my room when she comes,Feels more modern,Religious reasons,I don't see any other advantage,I don't see any other advantage,8,7,8,8,1,1,0.779344302,0.005045708,0.351796917,0.282876642,3,2,8,8,5,3,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,15,85,0,,1,1,1,1,1,2,2,2,2,2,2,19,Engineering,Turkish,9,,"It is about understanding how gender plays roles in decision making and trust. Of course you collect other data like nationality, age, major, etc.",4,1,2,3,3,4,4,4,4,3,1,3,2,4,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,20.16,21,4,2,1,3,2,1,3,3,1,2,1,0,6,6,9,10,5,6,8,9,9,6,0,0.121966394,2,1,0.781206103,0.1,40,0.737351147,1,0,30,3,0
