CaseNumber,IPAddress,DurationInMins,GroupSize,Mechanism,Cooperation,ExpCo,Nother,ExpCoP,PercEffi,conflict1,conflict2,conflict2r,conflict3,conflict4,conflict4r,conflict5,conflict6,conflict6r,Conflict,IR1_Q1,IR1_Q2,IR2_Q1,IR2_Q2,IR3_Q1,IR3_Q2,IR4_Q1,IR4_Q2,PunishQ1_1,PunishQ1_2,PunishQ1_3,PunishQ1_4,PunishQ2_1,PunishQ2_2,PunishQ2_3,PunishQ2_4,PunishQ3_1,PunishQ3_2,PunishQ3_3,PunishQ3_4,PunishQ4_1,PunishQ4_2,PunishQ4_3,PunishQ4_4,Age,Gender
168,73.42.27.39,12.966666666666667,20-person group,punishment,contribute 20,12,19,0.631578947368421,5,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,41,Male
169,73.115.64.75,12.966666666666667,20-person group,punishment,contribute 20,9,19,0.47368421052631576,5,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","slightly disagree
2
",4,3.6666666666666665,,,,,,,,,3,3,3,1,3,2,2,3,2,2,2,4,3,3,3,1,53,Female
170,184.170.80.48,12.95,4-person group,reputation,contribute 20,3,3,1,7,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"neutral
3
","completely agree
5
",1,2.5,I choose no one,,Member 1 (contribute 20 tokens),0 tokens,Member 1 (contribute 20 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,33,Female
171,172.92.249.3,12.833333333333334,20-person group,reputation,contribute 20,14,19,0.7368421052631579,5,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,1.5,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,37,Female
172,66.87.204.214,12.816666666666666,20-person group,punishment,contribute 20,15,19,0.7894736842105263,2,"completely disagree
1
","completely agree
5
",1,"slightly agree
4
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,0,0,0,10,0,0,2,8,0,2,2,6,2,2,2,4,38,Female
173,67.54.129.249,12.783333333333333,20-person group,reputation,contribute 0,5,19,0.2631578947368421,4,"completely disagree
1
","neutral
3
",3,"completely agree
5
","neutral
3
",3,"neutral
3
","completely disagree
1
",5,3.3333333333333335,Member 3 (contribute 20 tokens),6 tokens,I choose no one,,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,44,Female
174,108.200.140.112,12.766666666666667,20-person group,control,contribute 0,5,19,0.2631578947368421,2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,,,,,,,,,,,,,,,,,51,Female
175,72.35.129.186,12.75,20-person group,reputation,contribute 20,15,19,0.7894736842105263,6,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely disagree
1
",5,2.5,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,30,Female
176,201.208.230.78,12.7,20-person group,punishment,contribute 20,19,19,1,7,"slightly disagree
2
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,"completely disagree
1
","neutral
3
",3,1.8333333333333333,,,,,,,,,3,3,4,0,4,4,2,0,8,1,1,0,0,0,0,10,49,Male
177,67.48.134.138,12.683333333333334,40-person group,punishment,contribute 20,28,39,0.717948717948718,5,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,1.6666666666666667,,,,,,,,,3,3,3,1,2,2,4,2,0,4,4,2,3,3,3,1,29,Male
178,184.90.206.241,12.666666666666666,40-person group,punishment,contribute 0,7,39,0.1794871794871795,3,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,2,,,,,,,,,3,3,4,0,2,2,6,0,2,4,4,0,3,3,4,0,32,Male
179,73.80.99.21,12.633333333333333,4-person group,control,contribute 0,0,3,0,7,"completely disagree
1
","completely agree
5
",1,"slightly agree
4
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,41,Male
180,174.135.90.35,12.6,20-person group,reputation,contribute 20,5,19,0.2631578947368421,3,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","slightly disagree
2
",4,"neutral
3
","slightly disagree
2
",4,3.6666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,32,Male
181,96.43.246.3,12.583333333333334,40-person group,control,contribute 20,30,39,0.7692307692307693,5,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,47,Female
182,73.181.254.41,12.566666666666666,40-person group,reputation,contribute 20,15,39,0.38461538461538464,5,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","completely agree
5
",1,2.3333333333333335,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,35,Male
183,67.187.137.185,12.566666666666666,20-person group,punishment,contribute 0,10,19,0.5263157894736842,4,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,3.5,,,,,,,,,0,0,0,10,3,3,3,1,10,0,0,0,0,0,0,10,41,Female
184,67.165.222.223,12.533333333333333,40-person group,reputation,contribute 20,15,39,0.38461538461538464,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","neutral
3
",3,2,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,26,Male
185,71.205.42.81,12.516666666666667,40-person group,reputation,contribute 20,15,39,0.38461538461538464,3,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","neutral
3
",3,2.1666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,Member 1 (contribute 20 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,29,Female
186,47.135.100.146,12.516666666666667,40-person group,control,contribute 0,0,39,0,1,"completely disagree
1
","completely disagree
1
",5,"completely disagree
1
","completely disagree
1
",5,"completely disagree
1
","completely disagree
1
",5,3,,,,,,,,,,,,,,,,,,,,,,,,,38,Female
187,69.132.186.169,12.333333333333334,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,"neutral
3
","slightly agree
4
",2,2.5,,,,,,,,,0,0,0,10,0,0,10,0,0,5,5,0,3,3,3,1,62,Male
188,221.117.83.61,12.3,40-person group,reputation,contribute 0,26,39,0.6666666666666666,4,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,2.6666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,26,Female
189,24.218.173.86,12.283333333333333,40-person group,punishment,contribute 20,18,39,0.46153846153846156,5,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,3.3333333333333335,,,,,,,,,3,3,3,1,3,3,3,1,2,3,3,2,3,3,3,1,42,Female
190,72.201.113.54,12.283333333333333,40-person group,control,contribute 20,25,39,0.6410256410256411,5,"slightly disagree
2
","completely agree
5
",1,"neutral
3
","slightly agree
4
",2,"neutral
3
","slightly disagree
2
",4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,63,Male
191,108.94.161.15,12.25,40-person group,control,contribute 20,20,39,0.5128205128205128,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,40,Male
192,172.56.28.19,12.25,20-person group,reputation,contribute 20,15,19,0.7894736842105263,5,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,54,Female
193,24.131.166.213,12.233333333333333,4-person group,punishment,contribute 20,1,3,0.3333333333333333,3,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly disagree
2
",4,"slightly disagree
2
","slightly agree
4
",2,2.5,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,54,Female
194,76.177.247.4,12.2,20-person group,punishment,contribute 0,4,19,0.21052631578947367,5,"completely disagree
1
","neutral
3
",3,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","completely disagree
1
",5,2.5,,,,,,,,,5,3,2,0,0,0,10,0,0,5,5,0,4,3,3,0,28,Female
195,73.46.198.127,12.183333333333334,40-person group,punishment,contribute 20,20,39,0.5128205128205128,5,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,"completely agree
5
","completely disagree
1
",5,3.8333333333333335,,,,,,,,,0,0,0,10,0,0,5,5,0,5,5,0,5,3,2,0,20,Female
196,199.19.117.112,12.166666666666666,20-person group,punishment,contribute 20,14,19,0.7368421052631579,3,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,24,Female
197,184.166.17.49,12.166666666666666,20-person group,control,contribute 20,15,19,0.7894736842105263,6,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","neutral
3
",3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,34,Female
198,96.228.17.94,12.133333333333333,20-person group,reputation,contribute 20,10,19,0.5263157894736842,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,1.3333333333333333,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,48,Female
199,73.42.41.135,12.116666666666667,40-person group,reputation,contribute 20,15,39,0.38461538461538464,5,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","slightly disagree
2
",4,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,23,Male
200,98.251.34.208,12.116666666666667,20-person group,control,contribute 0,8,19,0.42105263157894735,1,"neutral
3
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,41,Female
201,184.158.193.37,12.1,4-person group,reputation,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,41,Female
202,71.55.146.68,12.1,40-person group,punishment,contribute 20,24,39,0.6153846153846154,5,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.5,,,,,,,,,0,0,0,10,0,0,10,0,0,5,5,0,3,3,4,0,56,Female
203,173.239.232.90,12.083333333333334,20-person group,punishment,contribute 20,11,19,0.5789473684210527,5,"neutral
3
","completely agree
5
",1,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.3333333333333335,,,,,,,,,1,0,0,9,0,0,0,10,2,1,2,5,3,4,3,0,24,Male
204,47.152.98.57,12.066666666666666,40-person group,reputation,contribute 20,20,39,0.5128205128205128,3,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,31,Male
205,12.15.83.226,11.916666666666666,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,3,,,,,,,,,2,2,2,4,2,2,6,0,2,4,4,0,3,3,4,0,51,Male
206,75.132.146.27,11.85,20-person group,punishment,contribute 20,5,19,0.2631578947368421,1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely disagree
1
",5,1.6666666666666667,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,50,Male
207,46.22.109.69,11.833333333333334,40-person group,punishment,contribute 20,39,39,1,6,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,2.5,,,,,,,,,0,0,0,10,0,0,1,9,0,1,1,8,1,1,1,7,25,Female
208,167.187.101.241,11.816666666666666,20-person group,punishment,contribute 20,10,19,0.5263157894736842,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,0,0,0,10,0,0,1,9,0,1,1,8,1,1,1,7,34,Male
209,75.53.180.109,11.8,20-person group,reputation,contribute 20,10,19,0.5263157894736842,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,2.1666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,38,Female
210,24.249.248.78,11.783333333333333,20-person group,reputation,contribute 20,10,19,0.5263157894736842,5,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly disagree
2
",4,2.5,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,32,Male
211,99.47.57.90,11.783333333333333,40-person group,control,contribute 20,32,39,0.8205128205128205,7,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,36,Female
212,73.246.83.194,11.783333333333333,4-person group,reputation,contribute 20,2,3,0.6666666666666666,7,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,1.5,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,50,Female
213,64.62.232.84,11.766666666666667,4-person group,punishment,contribute 20,1,3,0.3333333333333333,4,"neutral
3
","neutral
3
",3,"neutral
3
","neutral
3
",3,"neutral
3
","neutral
3
",3,3,,,,,,,,,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,38,Male
214,71.239.123.249,11.766666666666667,40-person group,reputation,contribute 20,15,39,0.38461538461538464,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,41,Male
215,184.158.70.16,11.733333333333333,4-person group,punishment,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,1,9,0,1,1,8,1,1,1,7,58,Female
216,24.131.249.34,11.716666666666667,20-person group,reputation,contribute 20,8,19,0.42105263157894735,5,"neutral
3
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,3,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,22,Male
217,108.235.175.91,11.7,20-person group,punishment,contribute 0,10,19,0.5263157894736842,5,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,3,,,,,,,,,,5,5,0,5,5,0,0,0,5,5,0,5,0,5,0,24,Female
218,66.56.218.109,11.65,20-person group,reputation,contribute 20,10,19,0.5263157894736842,7,"neutral
3
","neutral
3
",3,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","neutral
3
",3,3.3333333333333335,Member 2 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,35,Female
219,73.97.159.212,11.566666666666666,40-person group,punishment,contribute 20,26,39,0.6666666666666666,1,"completely disagree
1
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,"slightly disagree
2
","neutral
3
",3,2.5,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,47,Male
220,174.236.143.95,11.533333333333333,20-person group,punishment,contribute 20,7,19,0.3684210526315789,3,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,0,0,0,10,0,0,10,,0,5,5,0,3,3,3,1,48,Female
221,108.86.224.78,11.516666666666667,20-person group,reputation,contribute 0,10,19,0.5263157894736842,4,"neutral
3
","neutral
3
",3,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.5,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),0 tokens,I choose no one,,I choose no one,,,,,,,,,,,,,,,,,,29,Male
222,71.223.61.98,11.516666666666667,4-person group,punishment,contribute 20,3,3,1,6,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,1.5,,,,,,,,,0,0,0,10,0,0,0,10,0,5,5,0,3,3,3,1,39,Female
223,73.0.155.123,11.45,4-person group,reputation,contribute 20,2,3,0.6666666666666666,4,"neutral
3
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.6666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,29,Female
224,73.94.206.80,11.433333333333334,4-person group,punishment,contribute 20,1,3,0.3333333333333333,3,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,2.8333333333333335,,,,,,,,,1,4,5,0,5,3,2,0,9,1,0,0,5,4,1,0,30,Female
225,68.58.150.214,11.416666666666666,20-person group,punishment,contribute 20,10,19,0.5263157894736842,5,"slightly agree
4
","completely agree
5
",1,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.5,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,37,Female
226,74.67.199.220,11.416666666666666,20-person group,control,contribute 20,14,19,0.7368421052631579,6,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,45,Female
227,71.226.224.250,11.416666666666666,4-person group,punishment,contribute 20,2,3,0.6666666666666666,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,1.5,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,46,Male
228,96.3.77.166,11.383333333333333,40-person group,control,contribute 20,39,39,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,47,Female
229,72.88.178.139,11.383333333333333,40-person group,reputation,contribute 20,35,39,0.8974358974358975,5,"slightly disagree
2
","neutral
3
",3,"neutral
3
","neutral
3
",3,"slightly disagree
2
","neutral
3
",3,2.6666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,47,Female
230,172.8.236.115,11.366666666666667,20-person group,control,contribute 0,5,19,0.2631578947368421,2,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"slightly agree
4
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,53,Female
231,108.48.108.141,11.366666666666667,40-person group,control,contribute 0,20,39,0.5128205128205128,4,"completely agree
5
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,5,,,,,,,,,,,,,,,,,,,,,,,,,71,Male
232,108.84.149.88,11.35,4-person group,punishment,contribute 0,0,3,0,1,"completely disagree
1
","neutral
3
",3,"completely disagree
1
","completely disagree
1
",5,"completely disagree
1
","completely agree
5
",1,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,33,Male
233,108.85.67.12,11.316666666666666,40-person group,punishment,contribute 0,30,39,0.7692307692307693,4,"completely disagree
1
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"completely disagree
1
","completely agree
5
",1,2.5,,,,,,,,,0,0,0,10,1,1,1,7,3,3,4,0,3,3,4,0,30,Female
234,107.77.225.142,11.3,4-person group,control,contribute 0,2,3,0.6666666666666666,2,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,28,Male
235,172.58.201.198,11.25,20-person group,control,contribute 20,19,19,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,49,Female
236,64.190.117.33,11.2,20-person group,punishment,contribute 20,18,19,0.9473684210526315,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,,,,,,,,,0,0,0,10,0,0,5,5,0,5,5,0,10,0,0,0,36,Male
237,67.143.208.240,11.183333333333334,40-person group,punishment,contribute 20,20,39,0.5128205128205128,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,2.1666666666666665,,,,,,,,,3,2,3,2,2,3,2,3,2,3,2,3,3,3,4,0,61,Male
238,50.90.212.195,11.166666666666666,20-person group,punishment,contribute 0,15,19,0.7894736842105263,1,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"completely agree
5
","slightly disagree
2
",4,4.166666666666667,,,,,,,,,1,1,1,7,0,0,5,5,1,3,3,3,3,3,3,1,33,Male
239,59.88.242.198,11.166666666666666,40-person group,punishment,contribute 0,5,39,0.1282051282051282,7,"completely agree
5
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.8333333333333335,,,,,,,,,4,4,2,0,1,1,1,7,0,5,5,0,4,3,3,0,45,Male
240,97.119.218.53,11.133333333333333,20-person group,reputation,contribute 20,10,19,0.5263157894736842,5,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","slightly agree
4
",2,3.1666666666666665,I choose no one,,I choose no one,,I choose no one,,I choose no one,,,,,,,,,,,,,,,,,,40,Female
241,76.192.149.209,11.116666666666667,20-person group,punishment,contribute 20,9,19,0.47368421052631576,5,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,"neutral
3
","slightly agree
4
",2,2.8333333333333335,,,,,,,,,3,3,4,0,3,3,4,0,5,5,0,0,4,4,2,0,27,Female
242,73.222.191.169,11.116666666666667,40-person group,control,contribute 0,16,39,0.41025641025641024,4,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,53,Female
243,38.132.115.209,11.033333333333333,20-person group,reputation,contribute 20,8,19,0.42105263157894735,3,"slightly agree
4
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,2,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,33,Female
244,65.102.178.137,11.016666666666667,20-person group,control,contribute 20,13,19,0.6842105263157895,5,"completely disagree
1
","completely agree
5
",1,"slightly agree
4
","slightly disagree
2
",4,"completely disagree
1
","slightly agree
4
",2,2.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,54,Female
245,107.204.213.168,11,40-person group,reputation,contribute 20,12,39,0.3076923076923077,4,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,"neutral
3
","neutral
3
",3,3,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,33,Female
246,73.245.143.170,10.983333333333333,20-person group,reputation,contribute 20,9,19,0.47368421052631576,5,"slightly disagree
2
","completely disagree
1
",5,"slightly agree
4
","completely disagree
1
",5,"slightly agree
4
","slightly disagree
2
",4,4,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,36,Female
